id,params,state,node,started_at,finished_at,artefact_path,error_msg
79,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
80,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
81,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
82,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
83,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
84,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
85,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
86,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
87,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
88,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
89,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
90,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
91,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
